name,league,rank,prev_rank,off,def,spi
river plate,argentina primera division,93.000,94.000,1.600,1.000,59.100
genoa,italy serie a,94.000,95.000,1.500,0.900,59.100
vfl wolfsburg,german bundesliga,95.000,97.000,1.600,1.000,58.800
watford,barclays premier league,96.000,98.000,1.600,1.000,58.700
burnley,barclays premier league,97.000,99.000,1.500,0.900,58.600
rapid vienna,austrian t-mobile bundesliga,98.000,96.000,1.800,1.300,58.400
sampdoria,italy serie a,99.000,100.000,1.700,1.200,57.900
red star belgrade,uefa europa league,100.000,101.000,1.900,1.300,57.900
sassuolo,italy serie a,101.000,102.000,1.500,1.000,57.800
fc cologne,german bundesliga,102.000,103.000,1.900,1.400,57.800
nantes,french ligue 1,103.000,104.000,1.400,0.900,57.700
slavia prague,uefa europa league,104.000,105.000,1.600,1.000,57.700
grmio,brasileiro srie a,105.000,106.000,1.400,0.900,57.500
flamengo,brasileiro srie a,106.000,110.000,1.500,1.000,57.300
afc bournemouth,barclays premier league,107.000,107.000,1.800,1.200,57.300
angers,french ligue 1,108.000,108.000,1.400,0.900,57.200
west ham united,barclays premier league,109.000,109.000,1.700,1.200,57.100
palmeiras,brasileiro srie a,110.000,93.000,1.500,1.000,56.900
mlaga,spanish primera division,111.000,111.000,1.500,1.000,56.900
godoy cruz,argentina primera division,112.000,112.000,1.400,1.000,56.700
racing club,argentina primera division,113.000,113.000,1.600,1.100,56.400
guingamp,french ligue 1,114.000,116.000,1.600,1.200,56.200
udinese,italy serie a,115.000,117.000,1.500,1.100,56.200
aik,swedish allsvenskan,116.000,114.000,1.500,1.000,55.500
dinamo moscow,russian premier liga,117.000,119.000,1.300,0.900,55.300
fc copenhagen,uefa europa league,118.000,120.000,1.500,1.100,55.300
terek grozny,russian premier liga,119.000,121.000,1.300,0.900,55.300
toulouse,french ligue 1,120.000,122.000,1.400,1.000,55.200
dijon fco,french ligue 1,121.000,124.000,1.600,1.200,54.900
atletico mineiro,brasileiro srie a,122.000,118.000,1.600,1.200,54.800
west bromwich albion,barclays premier league,123.000,125.000,1.400,1.000,54.700
sk sturm graz,austrian t-mobile bundesliga,124.000,123.000,1.800,1.400,54.500
rostov,russian premier liga,125.000,127.000,1.200,0.800,54.500
brighton and hove albion,barclays premier league,126.000,128.000,1.400,1.000,54.400
sporting gijn,spanish segunda division,127.000,126.000,1.400,1.100,54.300
rosenborg,norwegian tippeligaen,128.000,115.000,1.500,1.100,54.100
internacional,brasileiro srie a,129.000,148.000,1.300,0.900,54.100
celtic,scottish premiership,130.000,130.000,1.500,1.200,53.900
empoli,italy serie b,131.000,131.000,1.700,1.300,53.700
so paulo,brasileiro srie a,132.000,142.000,1.400,1.100,53.600
cruzeiro,brasileiro srie a,133.000,141.000,1.300,0.900,53.500
bologna,italy serie a,134.000,132.000,1.400,1.000,53.400
fulham,english league championship,135.000,136.000,1.400,1.100,53.300
aek athens,uefa europa league,136.000,133.000,1.300,0.900,53.300
crotone,italy serie a,137.000,134.000,1.500,1.200,53.000
corinthians,brasileiro srie a,138.000,129.000,1.300,1.000,52.900
las palmas,spanish primera division,139.000,135.000,1.500,1.200,52.900
monterrey,mexican primera division torneo apertura,140.000,137.000,1.600,1.200,52.800
defensa y justicia,argentina primera division,141.000,138.000,1.300,1.000,52.700
chievo verona,italy serie a,142.000,140.000,1.400,1.100,52.300
apoel nicosia,uefa champions league,143.000,143.000,1.500,1.200,52.100
fk partizan belgrade,uefa europa league,144.000,144.000,1.700,1.400,52.100
stoke city,barclays premier league,145.000,145.000,1.400,1.200,52.000
